Comunidad;precio_medio;minima_exp;maxima_exp
Andalucía;12.6;12.6;12.6
Aragón;18.7;13.7;23.4
Asturias;17.1;12.1;22
Illes Balears;17.9;12.9;23.1
Canarias;14;11.3;17.4
Cantabria;13;10.3;16.1
Castilla-La Mancha;15.8;12.1;18.9
Castilla y León;23.3;17.1;30.3
Cataluña;33.5;25.3;39.5
Comunitat Valenciana;19;15.2;23.2
Extremadura;14.7;10.3;18.5
Galicia;11.9;9.9;13.9
Comunidad de Madrid;24.6;21.9;26.8
Región de Murcia;15.6;14.4;16.8
C.F.Navarra;19.7;16.3;23.1
País Vasco;16.9;14.1;19.8
La Rioja;19.8;14.6;23.5
UNED;16.1;13;21.6
