" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
"1996","   0",8807.1007569,8445.1319945,17252.232751
,"   1",9147.1048393,8333.2139027,17480.318742
,"   2",9581.9105789,8983.0496892,18564.960268
,"   3",10050.981871,9587.3464477,19638.328319
,"   4",10343.891006,9611.4964126,19955.387418
,"   5",10744.209484, 10262.44629,21006.655774
,"   6",10985.111717,10564.664175,21549.775892
,"   7",11542.713466,10779.889806,22322.603272
,"   8",11792.441178, 11294.80079,23087.241969
,"   9",12539.719861,11807.939351,24347.659212
,"  10",13095.030859,12349.938161, 25444.96902
,"  11",13650.794067,12767.632714, 26418.42678
,"  12",14008.113683,13300.872299,27308.985982
,"  13",15013.043137,14230.756286,29243.799424
,"  14",15918.279611,15100.586958,31018.866569
,"  15",16887.943911, 15604.38278,32492.326692
,"  16",17757.130744,16966.355184,34723.485928
,"  17",18503.764051,17707.817394,36211.581444
,"  18",18926.849938,18104.321835,37031.171772
,"  19",19601.198357, 18822.48416,38423.682518
,"  20",19855.075223, 19053.30307,38908.378293
,"  21",19453.702887,18857.539115,38311.242002
,"  22",19326.655869,18599.864765,37926.520634
,"  23",19465.020571,18520.594901,37985.615472
,"  24",19507.037054,18324.820117,37831.857171
,"  25",19286.155738,18453.537223,37739.692961
,"  26",19414.069016,18319.867187,37733.936203
,"  27", 19085.74635,18513.164834,37598.911184
,"  28",19357.759787,18427.518335,37785.278122
,"  29",18863.701299,18627.174118,37490.875417
,"  30",19267.383755,18560.458183,37827.841938
,"  31",19592.566708,19075.432351,38667.999059
,"  32",19751.462227, 18732.67985,38484.142077
,"  33",19036.242083,18126.504991,37162.747074
,"  34",18857.516614,18283.879317,37141.395931
,"  35",19284.266812,18060.974765,37345.241577
,"  36",19447.315535,18327.177982,37774.493517
,"  37",18616.190913,17467.603197, 36083.79411
,"  38",18645.161874,17788.596102,36433.757976
,"  39",17853.871729,16517.216435,34371.088164
,"  40",17640.542044,15848.560096,33489.102141
,"  41",16573.168881,15066.091918,31639.260799
,"  42",16343.588989,14912.496175,31256.085164
,"  43", 16486.25814,14493.970519,30980.228659
,"  44",15344.768775,13848.698455,29193.467231
,"  45",15747.302745,14302.683972,30049.986717
,"  46",15253.621427,14523.705118,29777.326545
,"  47",15655.175851,14642.600693,30297.776544
,"  48",15806.404377, 14610.74942,30417.153797
,"  49",13686.890452,13100.635611,26787.526064
,"  50",14667.901967,14406.681667,29074.583634
,"  51",14590.232239,14162.885452,28753.117691
,"  52",14675.486009,14117.166811, 28792.65282
,"  53",13707.048677,13535.347236,27242.395914
,"  54",   11885.481, 11912.14035, 23797.62135
,"  55",12927.946249,  13211.3419,26139.288149
,"  56",11550.047098,11932.215931,23482.263028
,"  57",10544.133616,10923.105022,21467.238637
,"  58",11421.437759,11943.023824,23364.461582
,"  59",14741.537887,15863.266688,30604.804575
,"  60",14814.292619,15896.432351, 30710.72497
,"  61",14723.438756,15693.646677,30417.085433
,"  62",15348.350724,16307.903723,31656.254447
,"  63",15486.901017,16573.434787,32060.335804
,"  64",15298.267477,16278.298983,31576.566461
,"  65",15701.409823,17222.098853,32923.508676
,"  66",14588.637094,16328.292955,30916.930049
,"  67",14886.377996,16137.987373,31024.365369
,"  68", 13848.16063,15990.985484,29839.146114
,"  69",14196.003143,16374.506701,30570.509844
,"  70",13202.622401,15112.974415,28315.596816
,"  71",13021.175019,15466.952941, 28488.12796
,"  72",12752.828076,15235.904714, 27988.73279
,"  73",12184.546629, 14745.74398,26930.290609
,"  74",11743.149885,13924.474188,25667.624073
,"  75",9992.7209708,12518.738321,22511.459291
,"  76",8484.1517716,11550.244681,20034.396453
,"  77",6983.8812315,10364.025878,17347.907109
,"  78",6785.4027028, 10412.28464,17197.687343
,"  79",6224.6260831,9463.5577339,15688.183817
,"  80",5983.0037708,9503.1307792, 15486.13455
,"  81",5516.7283035,9278.1927795,14794.921083
,"  82",5002.8506171,8687.1948751,13690.045492
,"  83",4841.1111689,8370.4169575,13211.528126
,"  84",4220.0768793,7325.8183793,11545.895259
,"  85",  3815.77701, 6540.372701,10356.149711
,"  86",3402.6160939,5911.8123957,9314.4284896
,"  87",2864.7547339,5017.3054758,7882.0602097
,"  88",2348.5295216,4040.8942488,6389.4237704
,"  89",1911.8375832,3563.7985745,5475.6361577
,"  90",1583.6034668,2866.0025199,4449.6059867
,"  91",1086.7044338,2345.0782546,3431.7826884
,"  92",  864.828033,1820.7126127,2685.5406457
,"  93", 730.6081234,1513.5208958,2244.1290192
,"  94", 474.0510352, 974.1961674,1448.2472026
,"  95", 437.7743792, 897.9248695,1335.6992487
,"  96", 332.5782624, 627.7153427, 960.2936051
,"  97", 111.9064522, 321.8331626, 433.7396148
,"  98",  81.7933269, 195.4152373, 277.2085642
,"  99",  47.3695298, 132.5128066, 179.8823364
," 100",  25.5703565,  81.5574562, 107.1278127
," 101",  19.3892415,  45.4515726,  64.8408141
," 102",  14.3776007,  32.9435312,  47.3211319
," 103",  10.1649739,  14.4937756,  24.6587495
," 104",   3.2153801,  12.2460485,  15.4614286
," 105",   4.2076822,    8.005688,  12.2133702
